#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
22328,LAMPUNG,22875,LAMPUNG TENGAH,22988,RUMBIA,0,0,0
22328,LAMPUNG,23189,LAMPUNG UTARA,23433,SUNGKAI BARAT,3889,1979,5868
22328,LAMPUNG,23189,LAMPUNG UTARA,23245,ABUNG TIMUR,10640,9879,20519
22328,LAMPUNG,22875,LAMPUNG TENGAH,23009,SEPUTIH MATARAM,0,0,0
22328,LAMPUNG,23189,LAMPUNG UTARA,23199,KOTABUMI,17105,9815,26920
22328,LAMPUNG,23189,LAMPUNG UTARA,23393,HULU SUNGKAI,4298,3246,7544
22328,LAMPUNG,22875,LAMPUNG TENGAH,22952,PUNGGUR,10383,10495,20878
22328,LAMPUNG,23189,LAMPUNG UTARA,23213,SUNGKAI SELATAN,7158,4587,11745
22328,LAMPUNG,23189,LAMPUNG UTARA,23330,ABUNG TENGAH,4872,4274,9146
22328,LAMPUNG,23460,LAMPUNG BARAT,23621,GEDUNG SURIAN,3284,6243,9527
22328,LAMPUNG,23189,LAMPUNG UTARA,23225,TANJUNG RAJA,10734,6405,17139
22328,LAMPUNG,23189,LAMPUNG UTARA,23290,SUNGKAI UTARA,9410,8598,18008
22328,LAMPUNG,23189,LAMPUNG UTARA,23413,ABUNG PEKURUN,3630,2241,5871
22328,LAMPUNG,23189,LAMPUNG UTARA,23404,SUNGKAI TENGAH,3722,4817,8539
22328,LAMPUNG,23189,LAMPUNG UTARA,23342,ABUNG TINGGI,6167,2888,9055
22328,LAMPUNG,23189,LAMPUNG UTARA,23452,BLAMBANGAN PAGAR,5002,5087,10089
22328,LAMPUNG,23189,LAMPUNG UTARA,23351,ABUNG SEMULI,6774,6828,13602
22328,LAMPUNG,23460,LAMPUNG BARAT,23461,PESISIR SELATAN,4192,7113,11305
22328,LAMPUNG,23460,LAMPUNG BARAT,23727,BANDAR NEGERI SUOH,3554,12461,16015
22328,LAMPUNG,23189,LAMPUNG UTARA,23444,ABUNG KUNANG,3602,1725,5327
22328,LAMPUNG,23460,LAMPUNG BARAT,23627,NGAMBUR,2966,6534,9500
22328,LAMPUNG,23189,LAMPUNG UTARA,23273,ABUNG SELATAN,13790,12211,26001
22328,LAMPUNG,23460,LAMPUNG BARAT,23673,LUMBOK SEMINUNG,1344,2767,4111
22328,LAMPUNG,23460,LAMPUNG BARAT,23637,BANGKUNAT BELIMBING,6748,7624,14372
22328,LAMPUNG,23460,LAMPUNG BARAT,23486,PESISIR UTARA,2334,1998,4332
22328,LAMPUNG,23189,LAMPUNG UTARA,23258,ABUNG BARAT,6751,3720,10471
22328,LAMPUNG,23460,LAMPUNG BARAT,23597,LEMONG,2804,4201,7005
22328,LAMPUNG,23460,LAMPUNG BARAT,23706,PAGAR DEWA,4442,7097,11539
22328,LAMPUNG,23189,LAMPUNG UTARA,23306,KOTABUMI UTARA,8436,9019,17455
22328,LAMPUNG,23189,LAMPUNG UTARA,23315,KOTABUMI SELATAN,23409,10075,33484
22328,LAMPUNG,23460,LAMPUNG BARAT,23525,BELALAU,3214,4594,7808
22328,LAMPUNG,23460,LAMPUNG BARAT,23573,SUKAU,5589,6182,11771
22328,LAMPUNG,23460,LAMPUNG BARAT,23536,WAY TENONG,8031,7973,16004
22328,LAMPUNG,23460,LAMPUNG BARAT,23518,SUMBER JAYA,5894,6786,12680
